"local_path","size_bytes","image_url"
"哈佛神兽发布会/图片55.jpg","119084","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0123-cbecaddf33c4.jpg"
"哈佛神兽发布会/图片56.jpg","97559","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0124-478cc601f177.jpg"
"火山引擎AI云介绍/1.jpg","459009","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0125-3261e8fe8500.jpg"
"火山引擎AI云介绍/10.jpg","755257","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0126-6a52444f441a.jpg"
"火山引擎AI云介绍/11.jpg","822616","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0127-26f232c0c00b.jpg"
"火山引擎AI云介绍/12.jpg","872849","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0128-8f25090a1359.jpg"
"火山引擎AI云介绍/13.jpg","929647","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0129-ea6d93baee36.jpg"
"火山引擎AI云介绍/14.jpg","749423","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0130-238b8bac6c20.jpg"
"火山引擎AI云介绍/15.jpg","1285183","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0131-4c7aea6358d4.jpg"
"火山引擎AI云介绍/16.jpg","1088998","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0132-01c124fb80b7.jpg"
"火山引擎AI云介绍/17.jpg","1034108","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0133-38b44b7737ce.jpg"
"火山引擎AI云介绍/18.jpg","921726","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0134-100f09d0d779.jpg"
"火山引擎AI云介绍/19.jpg","462977","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0135-2162ffc42296.jpg"
"火山引擎AI云介绍/2.jpg","350813","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0136-e5ba342e2d48.jpg"
"火山引擎AI云介绍/20.jpg","1049427","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0137-a0bf83e3a333.jpg"
"火山引擎AI云介绍/21.jpg","935381","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0138-a7be917f9276.jpg"
"火山引擎AI云介绍/22.jpg","931164","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0139-6d967a2ec031.jpg"
"火山引擎AI云介绍/23.jpg","298745","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0140-53d25d260be8.jpg"
"火山引擎AI云介绍/3.jpg","593937","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0141-86fd528736d2.jpg"
"火山引擎AI云介绍/4.jpg","945961","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0142-1735496d0359.jpg"
"火山引擎AI云介绍/5.jpg","662938","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0143-064b18a76a7f.jpg"
"火山引擎AI云介绍/6.jpg","677087","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0144-6b022a8cffbf.jpg"
"火山引擎AI云介绍/7.jpg","444052","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0145-ede59f5201d7.jpg"
"火山引擎AI云介绍/8.jpg","848254","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0146-c66713b2e9f7.jpg"
"火山引擎AI云介绍/9.jpg","710333","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0147-9d26879064b2.jpg"
"吉利星越L发布会/图片19.jpg","24424","https://cdn.jsdelivr.net/gh/Jayjiang007/pictures/abc/portfolio-0148-6c188ec30c5a.jpg"
